NOMMO	N AA M OW
ALLEGORIC	AH L EH JH ER IH K
FLEETE	F L IY T
IKAROS	IH K AH R AH Z
KILNED	K IH L N D
VISIONCLARIFIED	V IH ZH AH N K L AE R AH F AY D
SIWATKET	S AH W AA T AH T
PLOUGHING	P L AW AH NG
SWIMSWITH	S W IH M Z W IH TH
UNDOWERED	AH N D AW ER D
ARSOUNAS	AA R S AW N AH Z
SHEEPBARN	SH IY P B AA R N
HYM	HH IH M
NOOSED	N UW S T
CANCELL	K AE N S EH L
GOFOR	G OW F AO R
SUPERSMART	S UW P ER S M AA R T
EPAULETTES	AH P EY AH L EH T S
OWNIT	OW N AH T
PRENTICESPRENTICES	P R EH N T AH S IH Z P R EH N T AH S IH Z
DOVELY	D AH V L IY
TRUMPERY	T R AH M P AH R IY
SKIRTSRELENTLESSLY	S K ER T S R IH L EH N T L AH S L IY
PROPOSITIONING	P R AA P AH Z IH SH AH N IH NG
WISPISH	W IH S P IH SH
GODDAMNING	G AA D AE M IH NG
MELANCHOLIA	M EH L AH NG K OW L Y AH
ZET	Z EH T
UNSTACK	AH N S T AE K
THUMBEDDIARY	TH AH M EH D IY EH R IY
JOHNE	JH AA N
HAIRSTREAK	HH EH R S T R IY K
D____	D IY
AGAINSTAN	AH G EY N Z T AE N
DESTINEAWAY	D EH S T AH N AH W EY
UNCONNIVING	AH N K AH N AY V IH NG
AWAK'T	AO AH K T
QUYRE	K W AY R
EARLYEXPLORERS	ER L IY IH K S P L OW R ER Z
'ED	EH D
LABNEH	L AE B N
MANHOD	M AE N HH AH D
PICKA	P IH K AH
READOF	R IY AE D AH F
HOWLEES	HH AW L IY Z
MISCHIEFS	M IH S CH AH F S
STRAK	S T R AE K
ADAMSTHE	AE D AH M S DH
THERELIKE	TH IH R L AY K
W/HUN	W HH AH N
FATHERENTERS	F AA DH ER AH N T ER Z
WRUNGAND	R AH N G AH N D
IOLITE	AY AH L AY T
ONWARDNESS	AO N W ER D N AH S
AFFRIGHT	AE F R AY T
TASTEFOR	T EY S T F AO R
RINGTHE	R IH N G
HUNTBUT	HH AH N T B AH T
MINUTEOF	M IH N Y UW T IY AH F
CRUMMOCK	K R AH M AH K
FASTYET	F AE S T AY AH T
SQUATTIN	S K W AA T IH N
WILTHA	W IH L TH AH
DEVOUR'DAS	D AH V AH R D AH Z
AKONG	AE K AH NG
KNOWWHAT	N OW W HH AH T
CONY	K OW N IY
UPCHUCK	AH P CH AH K
CHESTBUT	CH EH S T B AH T
GOLDHORN	G OW L D HH AO R N
BLADESNAPS	B L EY D S N AE P S
OTHERTHE	AA TH AH R DH
DUCKBOARDS	D AH K B OW R D Z
OMCHILD	AA M CH AH L D
CLADD	K L AE D
WEATHERNEWS	W EH DH ER N UW Z
UNHAMMERED	AH N HH AE M ER D
EARTHBUT	AH R TH B AH T
'SLEEP	S L IY P
DISHEART'ND	D IH S AH R T N D
PUBIS	P AH B IY Z
ZENITHIT	Z EH N AH TH AH T
UPEND	AH P EH N D
GRASMERE	G R AE Z M AH R
ROMPS	R AA M P S
BLANDISHING	B L AE N D IH SH IH NG
HIPSAND	HH IH P S AE N D
GOTTENTO	G AA T EH N T OW
DOWNIN	D AW N IH N
CHAROSET	CH AE R AH S AH T
GUARE	G Y UW AH R
BRACHIATES	B R AE CH AY EY T S
SCHOLIUMS	S K OW L IY AH M Z
POÉSIE	P OW Z IY
REFLECTIONAS	R IH F L EH K T IY AH N AH Z
CRUDITIES	K R UW D AH T IY Z
CARBONARI	K AA R B AA N AH R IY
STINTED	S T IH N T IH D
TIGHTWOUND	T AY T W UW N D
DETUNED	D IY T UW N D
MARKERNEITHER	M AA R K AH R N IY DH AH R
TABLETOPAND	T AE B L EH T AH P AH N D
FIXIN	F IH K S IH N
TOXCATL	T AA K S AH T L
ROOSTING	R UW S T IH NG
UNCLOTH	AH N K L AO TH
ADAGIOS	AH D AA ZH IY OW Z
SENE	S IY N
SUPPLICANTS	S AH P L AH K AH N T S
OVERLOV	AH V AH R L AH V
COCKADES	K AA K EY D Z
FORKY	F AO R K IY
UNPROSELYTISED	AH N P R AH S EH L AH T AH S T
FAMILY/	F AE M AH L IY
MOVEEN	M UW V AH N
GIA	JH AY AH
SHADE'TIS	SH AH D EH T AH S
CHAINES	CH EY N Z
BANNOCHAR	B AE N AH CH AH R
SKINJOB	S K IH N JH AA B
JOSHED	JH AA SH T
CRUISY	K R UW Z IY
CECCHINO	S EH K AH N OW
SUNDAYTHERE	S AH N D EY TH AH R
PROUE	P R OW UW
WOUNDINGS	W UW N D IH NG Z
IBISES	AH B AY Z AH Z
QUIETSOME	K W AY AH T S AH M
ERLOADEN	AH R L OW D AH N
COOLBLACK	K UW L B L AE K
LESBOS	L EH Z AH Z
TERCE	T AH R S
ERARCHING	AH R AA R K AH NG
8:25	EY T UW F AY V
FUCKHEAD	F AH K HH EH D
SALUTIFEROUS	S AE L AH T IH F AH R AH S
'WELCOME	W EH L K OW M
LABRE	L EY B AH R
NEURITIC	N Y UH R AH T AH K
DAWNE	D AO N
SCRIPTOUR	S K R IH P T AH R
BLEWFROM	B L UW F R AH M
BALLROUND	B AO L R AW N D
THATTO	TH AE T OW
SLOBBERED	S L AA B ER D
AUNTY	AE N T IY
SMATTERS	S M AE T ER Z
ILÉ	IH L
RECITETO	R AH S IH T AH T OW
ISHKOODA	IH SH UW D AH
CUSAN	K Y UW Z AH N
IV	IH V
TH'ARK	TH AA R K
LEAVEIT	L IY V EY T
SISTAH	S IH S T AH
SDAWNING	S D AO N AH NG
FAGOTS	F AE G AH T S
SOTHEFASTNESSE	S AA TH AH F AE S T N AH S
PANOPTICON	P AE N AA P T IH K AO N
MATCHLESS	M AE CH L AH S
HOLYWEIGHT	HH OW L IY W EY T
GATHEREDMANY	G AE DH ER D M EH N IY
MINOURS	M AH N OW Y AH R Z
LCD	EH L S IY D
GRÁ	JH IY AA R
UNAPPREHENSIVE	AH N AE P R IH HH EH N S IH V
YOURES	Y OW Y AH R Z
MWAH	M W AA
MONACHUS	M AA N AH CH AH S
ESTEEMS	IH S T IY M Z
FARFALLE	F AA R F AH L
BELTANE	B IH L T EY N
BODIESLOOK	B AA D IY Z L UH K
PLEDG	P L EH JH
T'INFORM	T IH N F AH R M
MEAN'ST	M IY N S T
CLOUDLIKE	K L AW D L AY K
DOFOR	D UW F AO R
FIELDHOLLA	F IY L D HH AA L AH
STREETES	S T R IY T S
SUPPURATION	S AH P Y ER EY SH AH N
DOWNHEARTED	D AW N HH AA R T IH D
COMPANIONLESS	K AH M P AE N Y AH N L AH S
T'EXCEL	T EH K S AH L
TREASURING	T R EH ZH ER IH NG
ARIST	AE R AH S T
OVERTHRUSTS	OW V ER TH R AH S T S
IMMURED	IH M Y AH R D
RAISEDEUROPE	R EY S IY D Y AH R OW P
BUEY	B Y UW IY
CENTURYWHILE	S EH N T Y UH R AH W AH L
DISINHERITED	D IH S IH N HH EH R AH T IH D
SOFU	S OW F UW
PANTOUM	P AE N T AW M
BACKI	B AE K IY
CORILLO	K OW R IH L OW
DEERSLAYERS	D IH ER S L EY ER Z
PIMPLY	P IH M P L IY
BLOODFINE	B L AH D F AY N
CHOS	CH AA Z
UNMOORED	AH N M UH R D
THR	T IY EY CH R
ACHIEVEDGENDER	AH CH IY V D JH EH N D ER
COUNTENAUNCE	K OW AH N T EH N AH N S
MURDEROR	M ER D ER ER
LIQUIDLY	L IH K W AH D L IY
ANGLERFISH	AE NG G AH L ER F IH SH
WHOLEKEEP	HH OW L K IY P
SCEPTERS	S EH P T AH R Z
TECHNE	T EH K N
CLOUDLESSNESS	K L AW D L AH S N AH S
LOINGSEACHAN	L OY N G S IY CH AH N
UNZIPS	AH N Z IH P S
COPERNICA	K OW P AH R N IH K AH
SODOMITES	S AA D AH M AY T S
POOTER	P UW T AH R
BOTE	B OW T
SOFTGURGLING	S AO F T G ER G AH L IH NG
CHACHALACAS	CH AH CH AE L AH K AH Z
CREAKFROM	K R IY K R AH M
MACRAMÉ	M AE K R AH M
BOHO	B AA HH OW
UNTER	AH N T AH R
SCREAMFARMERS	S K R IY M F AA R M ER Z
MICROSOPIC	M AY K R OW S AA P IH K
REGALAR	R IH G EY L ER
HEARTSO	HH AH R T S OW
STANDINGNEAR	S T AE N D IH NG N IH ER
UNWEATHERED	AH N W EH DH ER D
SCHMALTZY	S K M AE L T S IY
APPERTAINS	AE P AH R T EY N Z
HUGE–IS	HH Y UW JH IY Z
AZE	EY Z
CLARINETING	K L AE R AH N EH T IH NG
STARTEDGOING	S T AA R T EH D G OW IH NG
WAYSTHAT	W EY S TH AH T
PRAESIDIUM	P R IY S IH D IY AH M
ALP	AE L P
ADOWNE	AH D OW N
ONEWHERE	AA N Y UW HH AH R
MUSTN	M AH S T N
XLVI	Z L V IY
TREESAS	T R IY S AH Z
RANTINGS	R AE N T IH NG Z
BANKBOOKS	B AE NG K B UH K S
ODDNESS	AA D N AH S
BREAD/	B R EH D
UNKEEPABLE	AH N K IY P AH B AH L
DREADNAUGHTS	D R EH D N AO T S
BOUGHSTHAT	B AW S TH AH T
BONESAND	B OW N S AE N D
LIKELETHARGIC	L AH K EH L AH TH AH R JH AH K
PHOTOGRAM	F OW T OW G R AE M
COMPAR	K AH M P AA R
DISPISE	D IH S AY Z
RUTSIN	R AH T S IH N
RIGHTEOUSNESSTHAT	R AY T IY AW Z N EH S TH AH T
EAGLED	IY G AH L D
LUTED	L UW T IH D
SPINSTERS	S P IH N S T ER Z
WHINNIESAND	W IH N IY S AH N D
CHARNAL	CH AA R N AH L
WHERETO	W EH R AH T OW
FORFENT	F AO R F AH N T
GHOSTHOOD	G OW S T HH UH D
WICKERWORK	W IH K ER W ER K
23,000	T UW TH R IY Z IY R OW Z IY R OW Z IY R OW
COLURE	K OW L UH R
YOUHEAR	Y AW HH IY AH R
OPPOSINGMY	AA P AH S IH N M IY
ARQUEBUSIERS	AA R K W EH B Y AH S IY R Z
PHONE…	F OW N
SOULIT	S AW L AH T
ANTIVIRUS	AE N T AY V AY R AH S
HOOST	HH UW S T
FLECKED	F L EH K T
DOUGHS	D OW Z
LEGENDED	L EH JH AH N D IH D
DARLINGSNOSE	D AA R L IH NG Z N OW Z
DIGNITAS	D IH G N AH T AH Z
SHOCKPROOF	SH AA K P R UW F
BITAUG	B AY T AO G
CALIFORNY	K AE L AH F AO R N IY
FOOTER–	F UH T ER
UUU	Y UW AH UW
COLLARAT	K AA L AE R AH T
RUCE	R UW S
BENEFITTHE	B AH N EH F AH T DH
DEPOLLUTE	D IY P AH L UW T
CATACHRESTIC	K AH T AE K R AH S T AH K
FURBELOWS	F ER B IH L OW Z
AFFINAQUANDO	AE F AH N AH K W AA N D OW
BAHNHOF	B AE N HH AH F
IDEOLOPHE	AH D IY AH L AH F
HUUB	HH Y UW AH B
MALACHI	M AH L AE CH IY
ONEDULL	AA N AH D AH L
NOONESH	N UW N AH SH
WEEÄK	W IY K
SALMACIS	S AE M AH S AH S
REVOKES	R IH V OW K S
UNLOV	AH N L AA V
FUNCTIONLIKE	F AH NG K SH AH N L AY K
DUERME	D Y UW AH R M
DANGLEFROM	D AE N G L EH F R AH M
GOODBYEGETTING	G UW D AY AH JH EH T AH NG
CONDENS'T	K AA N D EH N S T
COLORBEING	K AH L ER B IY IH NG
SYLLOGISMS	S IH L AH JH AH Z AH M Z
FIREBUGS	F AY ER B AH G Z
HORSEPITTLELAK	HH AO R S AH P IH T L AH L AH K
'SPARETH	S P AE R AH TH
NAILKEG	N EY L K EH G
YARDBIRD	Y AA R D B ER D
LAZARUSHIAN	L AH Z AE R AH SH AH N
SAWBOUGHS	S AO B AW Z
DIVLUGE	D IH V L UW JH
NAPHTHALINE	N AE F TH AH L AY N
DAMPISH	D AE M P IH SH
LIGHT'NINGS	L AY T N AH NG Z
DUA	D Y UW AH
UNMARKT	AH N M AA R K T
PUTRIFIED	P AH T R AH F AY D
VHF	V IY EY CH F
SACRISTY	S AE K R IH S T IY
HARMTHAT	HH AA R M TH AH T
PEUPLÁS	P Y UW P L Z
FLI'STWITH	F L IH S T W AH TH
UNPITYING	AH N P IH T IY IH NG
GOLDENSEAL	G OW L D AH N S IY L
CHUVASHIAN	CH UW V AH SH AH N
WHEREMIRRORS	W EH R AH M AH R AH R Z
FENCEDDRIES	F EH N S T D R AY Z
BLOODMAR	B L AH D M AA R
LEAVEUS	L IY V IY AH S
WHINNIED	W IH N IY D
BV	B IY V
OFF/VIRTUOSO	AO F V ER CH AH W OW S OW
FACEWAS	F AE S UW AH Z
IMPRESARIOS	IH M P R AH S AA R IY OW Z
HEAV'NLIE	HH IY V N L AY
BEANES	B AH EY N Z
MUHFUCKERY	M AH F AH K EH R IY
EPS	EH P S
SABAYON	S AE B EY AH N
STOF	S T AA F
HEADLINELANA	HH IY D L AH N EH L AH N AH
STRIGOSE	S T R AH G OW Z
WHEELEDDOWN	W IY L D AW N
CANDYLAND	K AE N D IY L AE N D
OUTIT	AW T AH T
MIKETO	M IH K AH T OW
THESSALONIKI	TH EH S AH L AA N AH K IY
CROSSBRED	K R AO S B R EH D
DEFUNCTIVE	D IH F AH NG K T IH V
TREVALLY	T R AH V AE L IY
DECKHANDS	D EH K HH AE N D Z
BELLCOTE	B IH L K OW T
WHITENINGS	W AY T AH N IH NG Z
PHOSPHORESCENTOR	F AA S F AH R EH S AH N T ER
ENREGISTER	EH N R EH JH AH S T ER
CALLEDMONKEY	K AO L D M AH NG K IY
STERIDE	S T AH R AY D
BREEDE	B R IY D
YOUPERCEIVE	Y UW P AH R S IY AH V
ERWHELMED	AH R W HH AH L M D
STINTLESS	S T IH N T L AH S
GALLEYFRONTING	G AE L IY F R AH N T IH NG
DESCRIE	D IH S R AY
MIRTH/WE	M ER TH W IY
DAMSITS	D AE M S IH T S
DAMSELFLIES	D AE M Z AH L F L AY Z
WHITECAP	W AY T K AE P
METAPHORWAS	M EH T AH F AO R W AH Z
UUUUUUUU	Y UW AH UW AH UW AH UW AH
LUNE	L UW N
JOYINGS	JH OY IH NG Z
TREECOMES	T R IY K AH M Z
DEPICTEDBY	D IH P IH K T IH D B AY
MANGLEDINTO	M AE N G L AH D IH N T OW
'BROIDER	B R OY D AH R
DELIBES	D AH L AY B Z
MARGINSITS	M AA R JH AH N S IH T S
ALTHOUGHSOMETIMES	AE L TH AW S AA M AH T AY M Z
ETEOCLES	IY T IY AH K AH L Z
APARTHEIDS	AH P AA R T EY T S
MARTINET	M AA R T AH N AH T
ABOVEMARSEILLE	AH B AH V EH M AH R S IY L
WAVINGHALLOWEEN	W EY V IH NG HH AO L OW AH N
BROOKLET	B R UH K L AH T
SLEEVEDPANTS	S L IY V D P AE N T S
¿TE	T IY
BRONXVILLE	B R AO NG K S V AH L
UNSUCCESS	AH N S AH K S EH S
KICKEDTHE	K IH K AH D
BOTAN	B OW T AH N
OLDTALE	OW L D T EY L
WONTED	W OW N T IH D
SUITEN	S W IY T AH N
NAAM	N AA M
NÔ	EH N
AUDUMB	AO D AH M
ETRE	EH T AH R
BRAINIS	B R EY N IY Z
VERKOLAUNUSUALLY	V AH R K AH L AO N Y UW S W EY L IY
NETLESS	N EH T L AH S
THROTTL	TH R AA T L
STARSTHEIR	S T AA R S TH IY R
DONE300	D IY OW EH N IY TH R IY Z IY R OW Z IY R OW
THISSHIT	DH AY Z SH IH T
SUNIN	S AH N IH N
PITCHT	P IH CH T
TAMALE	T AH M AA L IY
BUTBLACK	B AH T B L AH K
DAEMONIAC	D IY M OW N IY AH K
WAKINGSTITCHED	W EY K IH NG S T IH CH T
VOUCHSAFES	V AW CH S EY F S
EYEINSIDE	AY IH N S AY D
FLASHEST	F L AE SH AH S T
FLUTED	F L UW T IH D
SKYING	S K AY IH NG
INTRAP	IH N T R AE P
SIMPERS	S IH M P AH R Z
UNPREDICATED	AH N P R IY D AY S EY T IH D
CLIPPERED	K L IH P ER D
BLOODCURDLING	B L AH D K ER D L IH NG
CHAITHEADH	CH EY TH IY D
SLIVERED	S L IH V ER D
PREPOSTEROUSOR	P R IH P AA S T AH R AH S ER
UNPITTIED	AH N P IH T IY D
DRAYS	D R EY Z
'ENAMOUR	EH N AH M AH R
TATOOSH	T AH T UW SH
WATTE	W AA T
DRAGGLED	D R AE G AH L D
DISMOUNTS	D IH S M AW N T S
AFFIRMIN	AH F ER M IH N
DORSALS	D AO R S AH L Z
MOTHLING	M AO TH L IH NG
TRUANTS	T R UW AH N T S
CHIVALROUS	SH IH V AH L R AH S
'ATHALIE	AH TH EY L AY
WANTONNESS	W AO N T AH N AH S
SLOUCHEDFROM	S L AW CH EH D F R AH M
PIROGUES	P IY R OW G Z
CASQUES	K AE S
SHREWDER	SH R UW D ER
REMINDERER	R IY M AY N D ER ER
STARKEST	S T AA R K AH S T
JUNEBUGS	JH UW N AH B AH G Z
UNAPPARENT	AH N AH P AE R AH N T
GODFIRE	G AA D F AY ER
S0METHING	EH S Z IY R OW EH M IY T IY EY CH AY EH N JH IY
ENOUGHMORE	AH N AW M AH R
CHIGNECTO	CH IH G N EH K T OW
AWARDIN	AH W AO R D IH N
NOTHINGTOLD	N AH TH IH NG T OW L D
O'ERHEARD	AA AH R AH R D
DID…	D IH D
FRETUM	F R EH T AH M
MONUMENTOR	M AA N Y AH M AH N T ER
FANTASTICS	F AE N T AE S T IH K S
DELAID	D IY L EY D
CIVILIZING	S IH V AH L AY Z IH NG
RINGSIGHT	R IH NG S AY T
VIVICARE	V IH V AH K AH R
HAIRLIKE	HH EH R L AY K
DISCHARGD	D IH S AA R G D
PIGEONTOES	P IH JH AH N T OW Z
UPRUSH	AH P R AH SH
OBSTREPEROUSLY	AA B S T R AH P EH R OW AH S L IY
PICTI	P IH K T IY
WYS	W IH Z
INEBOW	AH N EH B OW
RIPPLEY	R IH P AH L IY
2007	T UW Z IY R OW Z IY R OW S EH V AH N
DEVIZ	D AH V IH Z
CHEEVY	CH IY V IY
SOLDIERED	S OW L JH ER D
DISASSEMBLING	D IH S AH S EH M B AH L IH NG
FEIGNÉD	F EY G N D
PREFACES	P R EH F AH S IH Z
FISHSCALE	F IH SH S K EY L
CRUELSO	K R UW EH L S OW
DIPT	D IH P T
DRYEROR	D R AY ER ER
UNMEANING	AH N M IY N IH NG
PECOS	P EH K AH Z
BOTTLEBRUSH	B AA T AH L B R AH SH
BLUTBUCHEN	B L AH T B AH CH AH N
FORMALIN	F AO R M AH L IH N
BECAMEUNBEARABLY	B IH K EY M AH N B AE R AH B AH L IY
TREACH'ROUS	T R IY CH R AH S
MOLDERED	M OW L D ER D
BESTY	B EH S T IY
FREMANTLE	F R EH M AH N T AH L
AGOHE	AE G AH HH
SEILE	S IY AH L
WITHAL	W IH TH AO L
HALLO	HH AE L OW
MISNAMED	M IH S N EY M D
NEIDELISKI	N IY D AH L IH S IY
GRIDDLES	G R IH D AH L Z
SHEPHEARDS	SH EH F AH R D Z
SANCTIFIED/OR	S AE NG K T AH F AY D AO R
PICKAXED	P IH K AE K S T
SYMPHILY	S IH M F AH L IY
APOLOGZING	AE P AH L AA G Z AH NG
MUSICWHEN	M Y UW S IH K W AH N
STOWS	S T OW Z
GARCILASO	G AA R S IH L AH S OW
SUCKFACE	S AH K F EY S
DROLLIN	D R AA L AH N
GRANDMOTHERTIRED	G R AE N D M AH DH ER T AY ER D
IMPRESSIONISTICCOCOON	IH M P R EH SH AH N IH S T IH K AH K UW N
UILLEANN	UW L IY N
UNFATHOMABLEFORCE	AH N F AE DH AH M EY B AH L F OW R S
DOLLIES	D AA L IY Z
ONCE–RED	AA N S IY R D
THICKFRUIT	TH IH K F R UW T
RECHABITE	R IH CH AH B AY T
SYKE	S AY K
YGOE	Y G OW
DELAYI	D AH L EY IY
CALLAT	K AE L AH T
CATULLUS	K AH T AH L AH S
ENOUGHTHAT	AH N AO TH AH T
DEEME	D IY IH M
GALMED	G AE M D
DISCERNABLE	D IH S ER N AH B AH L
BROIDERD	B R OY D AH R D
CROSSBREED	K R AO S B R IY D
ANDURGES	AE N D AH R JH AH Z
ASTREW	AE S T R UW
TRIPTHONGS	T R IH P TH AO NG Z
LANTHORNED	L AE N TH AH R N D
MATCHGIOTTO	M AE CH JH IY AA T OW
CAVALRYTHUNDERED	K AE V AH L R IY TH AH N D ER D
NAMLESS	N AE M L AH S
FANCYTO	F AE N S AH T OW
KALON	K AE L AH N
LYEYS	L AY IY Z
OURASSES	AH R AE S AH Z
WITCHPOWDER	W IH CH P AW D ER
BAKSZTA	B AE K S Z T AH
MIIGWANAG	M IY G W AH N AH G
FIELDE	F IY L D
ITBARE	IH T B AH R
IMPS	IH M P S
CADAVERORNAMENTAL	K AH D AE V ER AO R N AH M AH N T AH L
CINE	S AY N
SIDEITS	S AH D IY T S
BARRACOON	B AE R AH S UW N
CARPE	K AA R P
ECTOPISTES	EH K T AH P AH S T S
MODULATES	M AA JH UW L AH T S
SNOWFILLED	S N OW F IH L D
SHAKOS	SH AE K AH Z
CUILTE	K UW L T
BORDOM	B IY ER D AH M
LIKER	L AY K ER
GIFTSWERE	JH IH F T S W AH R
PURSELESS	P ER S L AH S
DESTRY	D EH S T R IY
UNRIVALD	AH N R IH V AH L D
–AND	AE N D
CHANGEWHEN	CH AE N JH UW AH N
GIRLWHO	JH AH R L W HH OW
CASSIOPEIA	K AE S IY OW P IY AH
BARCODE	B AA R K OW D
ATTIR	AE T AH R
NEGATOR	N IH G EY T ER
MYSELFIN	M AY Z EH L F AH N
SAPPHIC	S AE P AH K
UNANXIOUSLY	AH N AE NG K SH AH S L IY
INSENSUAL	IH N S EH N CH AH W AH L
PACKSADDLE	P AE K S AE D AH L
LOLLED	L AA L D
DOESSHE	D OW AH S
DOUMB	D AW M
TIMESIN	T AY M S IH N
AMBULATION	AE M B Y AH L EY SH AH N
DIRTCRESCENDO	D ER T K R IH SH EH N D OW
PASOAN	P AE S OW AH N
MEDIÆVAL	M IY D IH V AH L
VANITIESSO	V AE N AH T IY S OW
GAYNE	G EY N
AKENHAM	AH K EH N HH AE M
LUNGFUL	L AH NG F AH L
THINGAND	TH IH N G AH N D
ESTATLICH	EH S T AE T L AH CH
GEETA	JH IY T AH
FÜHRER	F HH R EH R
TOURNIER	T AH R N AY AH R
MARGINSOF	M AA R JH IH N S AH F
AFORETIME	AH F OW R T AY M
PERISHES	P EH R IH SH IH Z
ROVES	R OW V Z
FORUNLAWFUL	F AO R AH N L AO F AH L
CATASLEEP	K AE T AH S L IY P
MYWAY	M IH W EY IY
CÆSARS	K S AA R Z
HYPOGLOSSALALIA	HH AH P AH G L AA S AH L EY L Y AH
WHIPLASHING	W IH P L AE SH IH NG
IMY	AY M IY
SIDEBOARDS	S AY D B OW R D Z
FERENCZI	F AH R EH NG K Z IY
WINGEDS	W IH NG D Z
QUAINTER	K W EY N T ER
SNOUTINTO	S N AW T IH N T OW
GOLDAS	G OW L D AH Z
DAYIN	D EY IH N
CHABALO	CH AE B AH L OW
INSECTYOU	IH N S EH K T AY UW
MICROHENRIES	M AY K R OW HH EH N R IY Z
CASTUL	K AE S T AH L
TECHE	T EH K
DEUISE	D IY UW Z
POWERSMIRANDASIMON	P OW AH R S M AH R AH N D AE S AH M AH N
POSHLUST	P AA SH L AH S T
POSSET	P AA S AH T
JEWELED	JH UW AH L D
THOROZINE	TH AO R AH Z AY N
COGGERS	K OW JH ER Z
GLAM	G L AE M
ASLEEPAGAINST	AE Z L IY P AH G EY N S T
SHEGRIPPED	SH EH G R AH P T
HAPPYNESS	HH AE P IY N AH S
FLETCHED	F L EH CH T
PARASITICMALES	P AE R AH S IH T IH K M EY L Z
JAILBIRDHE	JH EY L B AH R D HH
LOOKA	L UH K AH
1888	W AH N EY T EY T EY T
MYHOUSE	M AH HH AW Z
MALINGERER	M AH L IH NG G ER ER
IGNITIONNOR	IH G N IH SH AH N ER
COWSHEDS	K AW SH EH D Z
GLASSHOLDS	G L AE S HH OW L D Z
STOON	S T UW N
GLEANER	G L IY N ER
RIGHTNESSES	R AY T N AH S IH Z
CANWICK	K AE N W IH K
UNASSUAGEABLE	AH N AH S W EY JH AH B AH L
CERBERIAN	S AH R B IY R IY AH N
CUPFULS	K AH P F UH L Z
APULEIUS	AE P Y UW L EY AH S
MACES	M AE K S
INVIGORATORS	IH N V IH G ER AH T ER Z
TREMENDULATE	T R AH M EH N D Y AH L EY T
THECYBORG	TH EH S AH B AH R G
FLUNGHER	F L AH N AH R
PLEADAT	P L IY D AH T
…I	AY
LAQUAN	L AE K W AH N
CALISTO	K AH L IH S T OW
TYPOGRAPHIC	T AY P AH G R AE F IH K
DEFUSES	D IY F Y UW Z IH Z
HIPPITY	HH IH P AH T IY
TSKING	T S K IH NG
KEPYNG	K EH P AH NG
THET	TH EH T
AFTERNOONMY	AE F T AH R N UW N M IY
WHORING	HH OW R IH NG
WISHTO	W IH SH T OW
HULSTKAMP	HH AH L S T AH M P
RIOJAEAU	R AY AA JH IY AH
SIGNBOARD	S AY N B OW R D
UNCONQUER	AH N K AA NG K ER
LIGHTLESS	L AY T L AH S
HEAT/IN	HH IY T IH N
MANCHURIANFOREST	M AE NG K Y AH R IY AE N F AH R AH S T
MYSELFWIDE	M IH S AH L F W AY D
SLITHERED	S L IH TH ER D
PUMPJACK	P AH M P JH AE K
BREEM	B R IY M
COSENING	K OW S EH N IH NG
SCOTUS	S K OW T AH S
EXTRACTABLE	IH K S T R AE K T AH B AH L
NOCTURNE	N AA K T ER N
PLOTTINGAND	P L AA T IH N G AH N D
HELMUND	HH EH L M AH N D
STARRIE	S T AA R IY
DIETHE	D IY DH
SYN/CO/PA/TED	S IH N K OW P AA T EH D
WAILBONE	W EY L B OW N
DISCOURAG	D IH S AH Y UH R AH G
GERNADE	JH AH R N EY D
SAFFRY	S AE F R IY
ABNORMALIZE	AE B N AO R M AH L AY Z
CONFOUNDE	K AA N F AW N D
DAIRYAND	D AE AH R AY AH N D
POSTMISTRESS	P OW S T M IH S T R AH S
RIPER	R AY P ER
PENTAMETER	P EH N T AE M AH T AH R
BLOCKDECKED	B L AA K D EH K T
COIGN	K OW IH N
UNLEAN	AH N L IY N
SHAPESHIFTER	SH EY P SH IH F T ER
WOODECRAFT	W UW D IY K R AE F T
THRAWN	TH R AO N
STANDAS	S T AE N D AH Z
LIVEDA	L IH V AH D AH
SIMPLICITIE	S IH M P L IH S AH T AY
ADUMBRATION	AH D AH M R AE SH AH N
LAPACCIAAUNT	L AE P AH K S IY AH AH N T
SWAMPCUNT	S W AA M P AH N T
UNABDICATED	AH N AE B D AH S EY T AH D
FACETERRIBLY	F AE S AH T ER AH B L IY
PILLAND	P IH L AH N D
DANCESHIS	D AE N S SH AY Z
PUTERS	P UH T ER Z
FATIGU	F AH T IH G Y UW
OILSKINS	OY L S K IH N Z
PUNKTE	P AH NG K T
SPRENT	S P R EH N T
JAMESIAN	JH EY M Z IY AH N
PLANING	P L EY N IH NG
NUMERABLE	N UW M ER AH B AH L
OUTHOWL	AW T HH AW L
APED	AH P EH D
WILDERNESSE	W IH L D AH R N AH S
DISCORDS	D IH S K AO R D Z
SOMETHINGCONCRETE	S AH M TH IH NG K AA N K R IY T
GANGBOX	G AE NG B AA K S
PLODDER	P L AA D ER
TOWELSLULLING	T AW AH L Z L AH L IH NG
GLOCKEN	G L AA K AH N
ROCKINGLY	R AA K IH NG L IY
TITIHIHIHIHI	T IH T AH HH AH HH IH HH AH HH IY
READIE	R IY D IY
INDIG	IH N D IH G
VOLNAY	V OW L N EY IY
THENLYING	TH EH N L AY AH NG
WINDLESSNESS	W IH N D L AH S N AH S
ELECTROLYTETHE	EH L AH K T R AA L AH T AH DH
YOURPLINTHS	Y AH R P L AH N TH S
SWILD	S W IH L D
SALÍ	S AE L
HOMINES	HH AH M AY N Z
BLYND	B L IH N D
